"province","zone_sante","annee","dtc1_vaccinated","survivants_admin","cv_dtc1_admin","survivants_ecv","cv_dtc1_ecv","variation_ecv_dtc1","survivants_ihme","cv_dtc1_ihme","variation_ihme_dtc1","naiss_dhis2","naiss_ecv","bcg","variation_bcg","pop_adj","bcg_adj","bcg_eds","bcg_eds_2024","pop_adj_2024","bcg_eds_2024_2025","pop_adj_2024_2025"
"sankuru","lomela",2023,12693,14778,0.8589118960617134,70516.66666666667,0.18,-3.771732755898408,26986.800078688117,0.470341054255775,-0.8261469805581348,6432,51098.03921568627,7818,-2.0167693479564455,17733.6,7818,18708.947999999997,19270.216439999997,18265.608,19848.322933199997,18813.576240000002
"sankuru","lusambo",2023,4921,5612,0.8768709907341411,6535.192563081009,0.753,-0.16450330774786337,10087.49854276506,0.487831545069162,-0.7974872670643373,6820,5006.072874493927,2473,0.22169265010977504,6535.192563081009,5456,6894.628154050465,7101.466998671979,6731.248339973439,7314.511008632138,6933.185790172643
"sankuru","minga",2023,5372,5951,0.9027054276592169,9610.017889087656,0.559,-0.6148576523420696,9664.137988864528,0.555869546377532,-0.6239519389790839,7892,9351.129363449692,4554,-0.37113333774922175,7141.2,9470.4,7533.965999999999,7759.984979999999,7355.436,7992.7845294,7576.09908
"sankuru","omendjadi",2023,6196,6885,0.8999273783587509,10775.652173913044,0.575,-0.5650910927978278,12060.712331185485,0.513734166760528,-0.7517374482477102,7964,8614.357262103505,5160,-0.09153031704301894,8262,7964,8716.41,8977.9023,8509.86,9247.239369,8765.1558
"sankuru","ototo",2023,6562,6949,0.9443085336019571,20506.25,0.32,-1.950964167506116,13385.783614400269,0.490221580523734,-0.9262891947618749,7199,71424.24242424242,4714,-7.968388049251936,8338.8,8638.8,8797.434,9061.35702,8588.964,9333.197730599999,8846.63292
"sankuru","pania_mutombo",2023,5607,6281,0.8926922464575705,21648.648648648646,0.259,-2.4466882102608896,11404.348829003855,0.491654550739462,-0.8156899902887844,4980,24196.34703196347,5299,-2.361070569796287,7537.2,5976,7951.746,8190.29838,7763.316,8436.0073314,7996.21548
"sankuru","tshudi_loto",2023,3567,4345,0.8209436133486766,6450.271247739602,0.553,-0.4845273297444423,6816.347990334564,0.523300747710934,-0.5687797446109469,4100,6643.835616438356,2910,-0.33410353743742083,5214,4920,5500.77,5665.793100000001,5370.42,5835.766893000001,5531.5326000000005
"sankuru","tshumbe",2023,3182,3578,0.8893236444941308,6601.659751037345,0.482,-0.8450698018550433,5460.296110474927,0.582752278561544,-0.5260749330561564,5467,4695.020746887967,2263,-0.14512701143608953,4293.6,6260.409371521101,4529.7480000000005,4665.640440000001,4422.408,4805.609653200001,4555.08024
"sankuru","vanga_kete",2023,4445,4770,0.9318658280922432,9621.21212121212,0.4620000000000001,-1.017025601931262,8262.311707948358,0.537985028539156,-0.7321408192763854,6676,12234.782608695652,2814,-1.2379335300339587,5724,8011.2,6038.82,6219.9846,5895.72,6406.584138,6072.591600000001
"sankuru","wembo_nyama",2023,5510,5825,0.9459227467811159,32797.619047619046,0.168,-4.630492540363785,11684.10531016883,0.471580823155075,-1.0058549888701855,5449,21922.619047619046,3683,-2.283795543382122,6990,6538.8,7374.45,7595.6835,7199.7,7823.554005,7415.691
"sud_ubangi","bangabola",2023,4437,4754,0.9333193100546908,9881.95991091314,0.449,-1.078662160478153,8497.279607335075,0.522167117599598,-0.7873957945593342,7319,8857.5,3543,-0.6255276197467425,5704.8,8782.8,6018.564,6199.12092,5875.944,6385.094547600001,6052.222320000001
"sud_ubangi","bogosenubea",2023,5632,6386,0.8819292201691199,12858.447488584476,0.438,-1.0135370323495891,8876.081742008888,0.634514210627958,-0.3899282402143576,8930,11924.050632911392,4710,-0.6291912328065845,7663.2,10716,8084.6759999999995,8327.21628,7893.0960000000005,8577.0327684,8129.88888
"sud_ubangi","bulu",2023,6977,6035,1.156089478044739,9340.026773761714,0.747,-0.5476432102339212,11287.655531682114,0.61810886950058,-0.8703654567824547,6357,6949.554896142433,4684,-0.004706505152874495,7242,6357,7640.31,7869.519300000001,7459.26,8105.604879000001,7683.0378
"sud_ubangi","bwamanda",2023,6158,5546,1.1103498016588533,15356.608478802991,0.401,-1.768952123837539,9261.383199401522,0.664911478924437,-0.6699212404258063,12096,5492.492492492493,3658,0.13599300102367584,6655.2,10451.028659617617,7021.236,7231.87308,6854.856,7448.8292724,7060.50168
"sud_ubangi","libenge",2023,7147,9949,0.7183636546386571,16392.201834862386,0.436,-0.6476230610978376,11189.692762938605,0.638712800379255,-0.12470527318711475,11466,17567.088607594935,6939,-0.5405672724366337,11938.8,13759.2,12595.434,12973.29702,12296.964,13362.4959306,12665.87292
"sud_ubangi","mbaya",2023,6668,5330,1.251031894934334,7638.029782359679,0.873,-0.4330262255834295,11069.307715341676,0.602386361593181,-1.0767931923717966,3041,7813.148788927336,4516,-0.27916646839019904,6396,4516,6747.78,6950.2134,6587.88,7158.719802,6785.5164
"tanganyika","ankoro",2023,3577,3590,0.9963788300835654,5537.151702786377,0.646,-0.5423820899126399,5513.756783643227,0.648740983753819,-0.5358653993435173,12639,3526.018099547511,3117,0.14313047398602402,4308,10829.973939290643,4544.94,4681.2882,4437.24,4821.7268460000005,4570.3571999999995
"tanganyika","kansimba",2023,15233,14624,1.0416438730853392,17020.111731843575,0.895,-0.16384790288864712,19912.37485152755,0.765001669242452,-0.361623006805768,8184,14060.041407867495,13582,0.16109538139215424,17020.111731843575,13582,17956.217877094972,18494.90441340782,17530.715083798885,19049.751545810057,18056.636536312853
"tanganyika","kiambi",2023,7125,7141,0.9977594174485366,9854.771784232365,0.723,-0.38002685677529274,10267.703845265525,0.693923403652255,-0.43785237995596205,8195,7381.019830028329,5211,0.09811585654590309,8569.2,8195,9040.506000000001,9311.721180000002,8826.276000000002,9591.072815400003,9091.064280000002
"tanganyika","manono",2023,14899,13462,1.1067449116030308,14899,1,-0.10674491160303075,20115.629173007288,0.740667859397241,-0.4942526499039733,15624,12502,12502,0.1897076933048156,14899,12660.00699980556,15718.445,16189.99835,15345.970000000001,16675.6983005,15806.349100000001
"tanganyika","nyemba",2023,13801,14084,0.9799062766259585,27712.85140562249,0.498,-0.967683286397507,21026.375845380782,0.656366085220145,-0.492926430373529,15657,14224.489795918365,9758,0.11879012539224598,16900.8,13797.103006733605,17830.344,18365.25432,17407.824,18916.2119496,17930.05872
